base_term,term,PMID,Year,DP,TA,JT
Southern Blot,"""Southern Blot""",15658653,2004,2004 Dec,Zhongguo Zhong Xi Yi Jie He Za Zhi,Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine
Southern Blot,"""Southern Blot""",15654491,2004,2004 Dec,Rev Hosp Clin Fac Med Sao Paulo,Revista do Hospital das Clinicas
Southern Blot,"""Southern Blot""",15650689,2004,2004 Dec,J Microbiol,"Journal of microbiology (Seoul, Korea)"
Southern Blot,"""Southern Blot""",15590672,2004,2004 Dec 8,J Biol Chem,The Journal of biological chemistry
Southern Blot,"""Southern Blot""",15583604,2004,2004 Dec,J Am Acad Dermatol,Journal of the American Academy of Dermatology
Southern Blot,"""Southern Blot""",15581971,2004,2004 Dec,Gynecol Oncol,Gynecologic oncology
Southern Blot,"""Southern Blot""",15569412,2004,2004 Dec,Acta Pharmacol Sin,Acta pharmacologica Sinica
Southern Blot,"""Southern Blot""",15564504,2004,2004 Dec,J Virol,Journal of virology
Southern Blot,"""Southern Blot""",15558276,2004,2004 Dec,Appl Microbiol Biotechnol,Applied microbiology and biotechnology
Southern Blot,"""Southern Blot""",15556714,2004,2004 Dec 1,FEMS Microbiol Lett,FEMS microbiology letters
Southern Blot,"""Southern Blot""",15545957,2004,2004 Dec,Mod Pathol,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc"
Southern Blot,"""Southern Blot""",15544939,2004,2004 Dec,Insect Biochem Mol Biol,Insect biochemistry and molecular biology
Southern Blot,"""Southern Blot""",15496980,2004,2004 Dec,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",15496432,2004,2004 Dec 15,Hum Mol Genet,Human molecular genetics
Southern Blot,"""Southern Blot""",15488630,2004,2004 Dec 1,J Virol Methods,Journal of virological methods
Southern Blot,"""Southern Blot""",15470492,2004,2004 Dec,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",15464440,2004,2004 Dec,Parasitol Int,Parasitology international
Southern Blot,"""Southern Blot""",15464436,2004,2004 Dec,Parasitol Int,Parasitology international
Southern Blot,"""Southern Blot""",15724965,2004,2004 Dec,J Chem Ecol,Journal of chemical ecology
Southern Blot,"""Southern Blot""",15696619,2004,2004 Dec,Curr Microbiol,Current microbiology
Southern Blot,"""Southern Blot""",15644961,2004,2004 Dec,Genome,Genome
Southern Blot,"""Southern Blot""",15633644,2004,2004 Dec,Yi Chuan Xue Bao,Yi chuan xue bao = Acta genetica Sinica
Southern Blot,"""Southern Blot""",15599814,2004,2004 Dec,Klin Monbl Augenheilkd,Klinische Monatsblatter fur Augenheilkunde
Southern Blot,"""Southern Blot""",15597742,2004,2004 Dec,Mol Plant Microbe Interact,Molecular plant-microbe interactions : MPMI
Southern Blot,"""Southern Blot""",15596098,2004,2004 Dec,Plant Physiol Biochem,Plant physiology and biochemistry : PPB
Southern Blot,"""Southern Blot""",15583977,2004,2004 Dec,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics
Southern Blot,"""Southern Blot""",15583154,2004,2004 Dec,Microbiology (Reading),"Microbiology (Reading, England)"
Southern Blot,"""Southern Blot""",19262824,2004,2004 Dec,J Nematol,Journal of nematology
Southern Blot,"""Southern Blot""",15564477,2004,2004 Dec,J Virol,Journal of virology
Southern Blot,"""Southern Blot""",15555731,2004,2004 Dec,Mol Biochem Parasitol,Molecular and biochemical parasitology
Southern Blot,"""Southern Blot""",15555729,2004,2004 Dec,Mol Biochem Parasitol,Molecular and biochemical parasitology
Southern Blot,"""Southern Blot""",15538741,2004,2004 Dec 30,Biotechnol Bioeng,Biotechnology and bioengineering
Southern Blot,"""Southern Blot""",15523603,2004,2004 Dec,Cytometry A,Cytometry. Part A : the journal of the International Society for Analytical Cytology
Southern Blot,"""Southern Blot""",15382263,2004,2004 Dec,Genes Chromosomes Cancer,"Genes, chromosomes & cancer"
Southern Blot,"""Southern Blot""",15684679,2004,2004 Nov-Dec,Tissue Eng,Tissue engineering
Southern Blot,"""Southern Blot""",15609553,2004,2004 Nov,Genetica,Genetica
Southern Blot,"""Southern Blot""",15576326,2004,2004 Nov,Biol Chem,Biological chemistry
Southern Blot,"""Southern Blot""",15537460,2004,2004 Nov,Int J STD AIDS,International journal of STD & AIDS
Southern Blot,"""Southern Blot""",15531335,2004,2004 Nov,Am J Ophthalmol,American journal of ophthalmology
Southern Blot,"""Southern Blot""",15504163,2004,2004 Nov,Transfusion,Transfusion
Southern Blot,"""Southern Blot""",15501656,2004,2004 Nov,Res Microbiol,Research in microbiology
Southern Blot,"""Southern Blot""",15477090,2004,2004 Nov,Protein Expr Purif,Protein expression and purification
Southern Blot,"""Southern Blot""",15458516,2004,2004 Nov,Eur J Haematol,European journal of haematology
Southern Blot,"""Southern Blot""",15338188,2004,2004 Nov,Plant Cell Rep,Plant cell reports
Southern Blot,"""Southern Blot""",15278418,2004,2004 Nov,Plant Cell Rep,Plant cell reports
Southern Blot,"""Southern Blot""",15577746,2004,2004 Nov-Dec,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis
Southern Blot,"""Southern Blot""",15522166,2004,2004 Nov,Ai Zheng,Ai zheng = Aizheng = Chinese journal of cancer
Southern Blot,"""Southern Blot""",15516586,2004,2004 Nov,J Bacteriol,Journal of bacteriology
Southern Blot,"""Southern Blot""",15507666,2004,2004 Nov,J Mol Diagn,The Journal of molecular diagnostics : JMD
Southern Blot,"""Southern Blot""",15501749,2004,2004 Nov,Infect Immun,Infection and immunity
Southern Blot,"""Southern Blot""",15492798,2004,2004 Nov,Oncol Rep,Oncology reports
Southern Blot,"""Southern Blot""",15491975,2004,2004 Nov,Am J Clin Pathol,American journal of clinical pathology
Southern Blot,"""Southern Blot""",15479452,2004,2004 Nov,Traffic,"Traffic (Copenhagen, Denmark)"
Southern Blot,"""Southern Blot""",15457560,2004,2004 Nov 1,World J Gastroenterol,World journal of gastroenterology
Southern Blot,"""Southern Blot""",15448942,2004,2004 Nov,Immunogenetics,Immunogenetics
Southern Blot,"""Southern Blot""",15381359,2004,2004 Nov,J Virol Methods,Journal of virological methods
Southern Blot,"""Southern Blot""",15365757,2004,2004 Nov,Plant Cell Rep,Plant cell reports
Southern Blot,"""Southern Blot""",15349839,2004,2004 Nov,Mol Reprod Dev,Molecular reproduction and development
Southern Blot,"""Southern Blot""",15340121,2004,2004 Nov 17,Physiol Genomics,Physiological genomics
Southern Blot,"""Southern Blot""",15338111,2004,2004 Nov,Arch Microbiol,Archives of microbiology
Southern Blot,"""Southern Blot""",15727253,2004,2004 Fall,Genet Test,Genetic testing
Southern Blot,"""Southern Blot""",15627703,2004,2004 Oct,Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao,Zhi wu sheng li yu fen zi sheng wu xue xue bao = Journal of plant physiology and molecular biology
Southern Blot,"""Southern Blot""",15575500,2004,2004 Oct,Genetika,Genetika
Southern Blot,"""Southern Blot""",15552041,2004,2004 Oct,Yi Chuan Xue Bao,Yi chuan xue bao = Acta genetica Sinica
Southern Blot,"""Southern Blot""",15540904,2004,2004 Oct,Int J Hematol,International journal of hematology
Southern Blot,"""Southern Blot""",15528989,2004,2004 Oct 31,Mol Cells,Molecules and cells
Southern Blot,"""Southern Blot""",15517974,2004,2004 Oct,Biotechniques,BioTechniques
Southern Blot,"""Southern Blot""",15498441,2004,2004 Oct 9,Med Clin (Barc),Medicina clinica
Southern Blot,"""Southern Blot""",15474308,2004,2004 Oct 27,Gene,Gene
Southern Blot,"""Southern Blot""",15468361,2004,2004 Oct,J Rheumatol,The Journal of rheumatology
Southern Blot,"""Southern Blot""",15467207,2004,2004 Oct,Biol Pharm Bull,Biological & pharmaceutical bulletin
Southern Blot,"""Southern Blot""",15466192,2004,2004 Oct 1,Cancer Res,Cancer research
Southern Blot,"""Southern Blot""",15450955,2004,2004 Oct 4,Biochim Biophys Acta,Biochimica et biophysica acta
Southern Blot,"""Southern Blot""",15378768,2004,2004 Oct 15,World J Gastroenterol,World journal of gastroenterology
Southern Blot,"""Southern Blot""",15375765,2004,2004 Oct,Histol Histopathol,Histology and histopathology
Southern Blot,"""Southern Blot""",15300455,2004,2004 Oct,Funct Integr Genomics,Functional & integrative genomics
Southern Blot,"""Southern Blot""",15168094,2004,2004 Oct,Appl Microbiol Biotechnol,Applied microbiology and biotechnology
Southern Blot,"""Southern Blot""",15810438,2004,2004 Oct,Archaea,"Archaea (Vancouver, B.C.)"
Southern Blot,"""Southern Blot""",15727254,2004,2004 Fall,Genet Test,Genetic testing
Southern Blot,"""Southern Blot""",15644897,2004,2004 Oct,Can J Microbiol,Canadian journal of microbiology
Southern Blot,"""Southern Blot""",15636368,2004,2004 Oct,Shi Yan Sheng Wu Xue Bao,Shi yan sheng wu xue bao
Southern Blot,"""Southern Blot""",15553048,2004,2004 Oct,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology
Southern Blot,"""Southern Blot""",15532982,2004,2004 Oct,Int J Med Microbiol,International journal of medical microbiology : IJMM
Southern Blot,"""Southern Blot""",15521637,2004,2004 Oct,Parasitology,Parasitology
Southern Blot,"""Southern Blot""",15477547,2004,2004 Oct 12,Neurology,Neurology
Southern Blot,"""Southern Blot""",15475252,2004,2004 Oct,Genomics,Genomics
Southern Blot,"""Southern Blot""",15474731,2004,2004 Oct 22,Vaccine,Vaccine
Southern Blot,"""Southern Blot""",15474301,2004,2004 Oct 27,Gene,Gene
Southern Blot,"""Southern Blot""",15474077,2004,2004 Oct,Fertil Steril,Fertility and sterility
Southern Blot,"""Southern Blot""",15470115,2004,2004 Oct,Microbiology (Reading),"Microbiology (Reading, England)"
Southern Blot,"""Southern Blot""",15456538,2004,2004 Oct,Acta Pharmacol Sin,Acta pharmacologica Sinica
Southern Blot,"""Southern Blot""",27811604,2004,2004 Oct,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology
Southern Blot,"""Southern Blot""",15454834,2004,2004 Oct,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology
Southern Blot,"""Southern Blot""",15452043,2004,2004 Oct,Invest Ophthalmol Vis Sci,Investigative ophthalmology & visual science
Southern Blot,"""Southern Blot""",15383583,2004,2004 Oct 1,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)"
Southern Blot,"""Southern Blot""",15382118,2004,2004 Oct,Hepatology,"Hepatology (Baltimore, Md.)"
Southern Blot,"""Southern Blot""",15358667,2004,2004 Oct 15,Circ Res,Circulation research
Southern Blot,"""Southern Blot""",15322225,2004,2004 Oct,Mol Hum Reprod,Molecular human reproduction
Southern Blot,"""Southern Blot""",15295086,2004,2004 Oct,Pediatr Res,Pediatric research
Southern Blot,"""Southern Blot""",15290371,2004,2004 Oct,Arch Virol,Archives of virology
Southern Blot,"""Southern Blot""",15289020,2004,2004 Oct,Leuk Res,Leukemia research
Southern Blot,"""Southern Blot""",15007569,2004,2004 Oct,Appl Microbiol Biotechnol,Applied microbiology and biotechnology
Southern Blot,"""Southern Blot""",15553085,2004,2004 Sep,J Mol Evol,Journal of molecular evolution
Southern Blot,"""Southern Blot""",15544929,2004,2004 Sep,J Steroid Biochem Mol Biol,The Journal of steroid biochemistry and molecular biology
Southern Blot,"""Southern Blot""",15509850,2004,2004 Sep,Plant Cell Physiol,Plant & cell physiology
Southern Blot,"""Southern Blot""",15385053,2004,2004 Sep 23,BMC Gastroenterol,BMC gastroenterology
Southern Blot,"""Southern Blot""",15383179,2004,2004 Sep,DNA Cell Biol,DNA and cell biology
Southern Blot,"""Southern Blot""",15381407,2004,2004 Sep,Phytochemistry,Phytochemistry
Southern Blot,"""Southern Blot""",15353267,2004,2004 Sep 1,Front Biosci,Frontiers in bioscience : a journal and virtual library
Southern Blot,"""Southern Blot""",15338574,2004,2004 Sep,Fungal Genet Biol,Fungal genetics and biology : FG & B
Southern Blot,"""Southern Blot""",15327482,2004,2004 Sep,Congenit Anom (Kyoto),Congenital anomalies
Southern Blot,"""Southern Blot""",15322423,2004,2004 Sep,Diagn Mol Pathol,"Diagnostic molecular pathology : the American journal of surgical pathology, part B"
Southern Blot,"""Southern Blot""",15305918,2004,2004 Sep,Environ Microbiol,Environmental microbiology
Southern Blot,"""Southern Blot""",15151927,2004,2004 Sep,Biol Reprod,Biology of reproduction
Southern Blot,"""Southern Blot""",15133712,2004,2004 Sep,Plant Cell Rep,Plant cell reports
Southern Blot,"""Southern Blot""",17361543,2004,2004 Sep,Rev Biol Trop,Revista de biologia tropical
Southern Blot,"""Southern Blot""",15973983,2004,2004 Sep,Sheng Wu Gong Cheng Xue Bao,Sheng wu gong cheng xue bao = Chinese journal of biotechnology
Southern Blot,"""Southern Blot""",15556294,2004,2004 Sep 29,Gene,Gene
Southern Blot,"""Southern Blot""",15508413,2004,2004 Sep,Cent Eur J Public Health,Central European journal of public health
Southern Blot,"""Southern Blot""",15493138,2004,2004 Sep,Yi Chuan Xue Bao,Yi chuan xue bao = Acta genetica Sinica
Southern Blot,"""Southern Blot""",15364798,2004,2004 Sep 28,Circulation,Circulation
Southern Blot,"""Southern Blot""",15364293,2004,2004 Sep,Comp Biochem Physiol B Biochem Mol Biol,"Comparative biochemistry and physiology. Part B, Biochemistry & molecular biology"
Southern Blot,"""Southern Blot""",15358426,2004,2004 Sep 15,FEMS Microbiol Lett,FEMS microbiology letters
Southern Blot,"""Southern Blot""",15354289,2004,2004 Sep,Genesis,"Genesis (New York, N.Y. : 2000)"
Southern Blot,"""Southern Blot""",15343521,2004,2004 Sep,Hum Pathol,Human pathology
Southern Blot,"""Southern Blot""",15324750,2004,2004 Sep 12,Mutat Res,Mutation research
Southern Blot,"""Southern Blot""",15324322,2004,2004 Sep,Clin Genet,Clinical genetics
Southern Blot,"""Southern Blot""",15322776,2004,2004 Sep,Immunogenetics,Immunogenetics
Southern Blot,"""Southern Blot""",15322428,2004,2004 Sep,Diagn Mol Pathol,"Diagnostic molecular pathology : the American journal of surgical pathology, part B"
Southern Blot,"""Southern Blot""",15286705,2004,2004 Sep 23,Oncogene,Oncogene
Southern Blot,"""Southern Blot""",15284865,2004,2004 Sep,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",15273723,2004,2004 Sep 9,Oncogene,Oncogene
